"Annee","jour","mois","Arneguy","Banca","Iraty","Sare","Urrugne","TotalJ"
1999,7,10,5648,1355,1025,1822,42,9892
1999,8,10,7011,3991,1410,2838,19,15269
1999,9,10,10346,3448,10883,2594,104,27375
1999,10,10,6274,3105,4712,4381,722,19194
1999,11,10,14140,8847,6647,7400,257,37291
1999,12,10,8837,3972,3226,0,25,16060
1999,13,10,7601,7113,0,1638,1504,17856
1999,14,10,1155,390,4200,318,106,6169
1999,15,10,2119,154,16476,563,84,19396
1999,16,10,36833,17201,8569,16062,29532,108197
1999,17,10,430,0,569,569,87,1655
1999,18,10,192,0,0,0,5,197
1999,19,10,359,60,260,0,6,685
1999,20,10,42,0,0,14,1321,1377
1999,21,10,395,48,355,228,260,1286
1999,22,10,1130,1324,143,180,2435,5212
1999,23,10,235,214,175,276,2809,3709
1999,24,10,336,83,2065,4190,527,7201
1999,25,10,1447,7735,1402,6809,36205,53598
1999,26,10,839100,402251,9983,167920,113467,1532721
1999,27,10,15980,42882,4713,104566,206865,375006
1999,28,10,26161,5836,2910,3422,8949,47278
1999,29,10,1416,93,89,156,850,2604
1999,30,10,1363,7,82,44,921,2417
1999,31,10,4155,1173,1509,533,572,7942
1999,1,11,1218,306,77,16,1890,3507
1999,2,11,831,0,342,1,6,1180
1999,3,11,2510,350,1014,16408,15162,35444
1999,4,11,114172,58307,1245,69575,115495,358794
1999,5,11,1210,339,54,5,1500,3108
1999,6,11,0,0,0,0,0,0
1999,7,11,0,0,0,885,0,885
1999,8,11,32266,11992,0,14015,6844,65117
1999,9,11,0,0,0,4,0,4
1999,10,11,0,0,0,0,0,0
2000,9,10,0,0,0,0,768,768
2000,10,10,0,0,0,0,0,0
2000,11,10,0,0,0,0,0,0
2000,12,10,30,128,0,84,621,863
2000,13,10,0,0,10,1,1,12
2000,14,10,1721,19,0,1202,1477,4419
2000,15,10,26,60,0,32,3,121
2000,16,10,0,0,0,0,0,0
2000,17,10,1,70,3141,1263,147,4622
2000,18,10,12645,35000,3872,38614,30809,120940
2000,19,10,204486,30826,25795,10617,2696,274420
2000,20,10,10,392,112,2,38125,38641
2000,21,10,0,0,0,0,10,10
2000,22,10,3513,2520,1290,13572,200,21095
2000,23,10,42545,240839,2852,156470,53242,495948
2000,24,10,120,8,44,88,0,260
2000,25,10,89590,99201,4788,256,0,193835
2000,26,10,9,217,0,310,70,606
2000,27,10,16794,7081,18871,38538,7365,88649
2000,28,10,15736,26678,603,3341,246366,292724
2000,29,10,1048,320,0,107,0,1475
2000,30,10,1315,344,0,3,1944,3606
2000,31,10,9,0,0,0,0,9
2000,1,11,86,20,0,6,6,118
2000,2,11,0,0,0,7,2,9
2000,3,11,1457,21,0,1,0,1479
2000,4,11,0,0,0,2,0,2
2000,5,11,585,5809,0,38,5900,12332
2000,6,11,16,5,0,3,0,24
2000,7,11,0,0,0,0,0,0
2000,8,11,0,0,0,0,0,0
2000,9,11,0,0,0,0,0,0
2001,9,10,225,98,78,178,44,623
2001,10,10,5113,830,2210,2135,18,10306
2001,11,10,15446,13505,12805,15299,10321,67376
2001,12,10,12279,7467,14600,971,292,35609
2001,13,10,397,181,994,262,105,1939
2001,14,10,5829,2445,4830,1136,429,14669
2001,15,10,6785,1380,2565,115,46,10891
2001,16,10,150879,22668,12683,32353,4859,223442
2001,17,10,1688,6931,605,173,8113,17510
2001,18,10,2971,3091,1024,2161,303,9550
2001,19,10,1500,3994,250,344,2084,8172
2001,20,10,1349,7200,370,363,4086,13368
2001,21,10,2520,361,489,71,16,3457
2001,22,10,23621,79350,2200,1487,85129,191787
2001,23,10,4900,1838,184,1159,0,8081
2001,24,10,58299,38553,796,82480,12059,192187
2001,25,10,12684,27836,939,36686,191630,269775
2001,26,10,32325,37417,3287,28074,21808,122911
2001,27,10,7010,44715,658,20776,17359,90518
2001,28,10,2117,3299,380,610,1058,7464
2001,29,10,40450,11195,1231,22216,7747,82839
2001,30,10,23319,16619,325,8445,25688,74396
2001,31,10,11318,1488,9053,501,24,22384
2001,1,11,11946,6095,0,11673,15245,44959
2001,2,11,194666,31878,0,35967,3270,265781
2001,3,11,19523,4780,0,5587,5189,35079
2001,4,11,2620,53,0,942,93,3708
2001,5,11,0,0,0,0,0,0
2001,6,11,0,0,0,0,2,2
2001,7,11,0,0,0,0,0,0
2001,8,11,0,0,0,0,0,0
2001,9,11,0,0,0,0,0,0
2002,7,10,225,0,0,0,0,225
2002,8,10,1763,704,291,723,10,3491
2002,9,10,0,0,0,0,0,0
2002,10,10,0,0,0,0,0,0
2002,11,10,0,0,0,0,0,0
2002,12,10,0,0,12,0,0,12
2002,13,10,16584,8224,1442,8055,8200,42505
2002,14,10,25622,6505,5648,3113,0,40888
2002,15,10,414,1357,120,0,550,2441
2002,16,10,28,59,35,0,0,122
2002,17,10,0,0,0,0,0,0
2002,18,10,426,654,70,57,0,1207
2002,19,10,38567,52284,1314,20394,60416,172975
2002,20,10,581,4176,1584,4327,54080,64748
2002,21,10,195,866,6527,249,69,7906
2002,22,10,5,12,0,0,0,17
2002,23,10,35,26,0,0,0,61
2002,24,10,1718,159,344,45,43,2309
2002,25,10,5,61,0,21,0,87
2002,26,10,13020,3468,3042,1624,0,21154
2002,27,10,44823,17254,169496,14833,47402,293808
2002,28,10,230517,78163,80557,307553,62389,759179
2002,29,10,61694,29339,3401,11281,13393,119108
2002,30,10,3701,16415,500,1340,117,22073
2002,31,10,0,0,0,25,0,25
2002,1,11,1249,41,0,292,0,1582
2002,2,11,3210,2321,0,2046,2979,10556
2002,3,11,0,5,0,11,0,16
2002,4,11,150,0,0,47,0,197
2002,5,11,36700,12642,0,52331,3354,105027
2002,6,11,167699,124098,0,62587,26358,380742
2002,7,11,0,0,0,0,0,0
2003,9,10,2,10,0,34,7,53
2003,10,10,47,38,255,80,3,423
2003,11,10,1559,1200,1942,1127,170,5998
2003,12,10,746,1299,6000,289,1933,10267
2003,13,10,846,1165,200,190,2,2403
2003,14,10,0,95,217,24,8,344
2003,15,10,1471,711,4100,553,3,6838
2003,16,10,40000,5000,23480,3650,200,72330
2003,17,10,7200,2000,5000,2300,200,16700
2003,18,10,4100,2300,3550,1500,100,11550
2003,19,10,0,0,500,5,100,605
2003,20,10,110,100,500,100,100,910
2003,21,10,6000,2486,3000,1250,0,12736
2003,22,10,10420,22000,13430,1700,8500,56050
2003,23,10,0,0,0,0,0,0
2003,24,10,170,500,0,3840,135,4645
2003,25,10,70000,59600,10000,100500,34000,274100
2003,26,10,20,265,0,70,200,555
2003,27,10,5100,8350,0,5200,2800,21450
2003,28,10,950,43110,500,820,20000,65380
2003,29,10,0,140,0,0,0,140
2003,30,10,0,0,0,0,0,0
2003,31,10,0,0,0,0,0,0
2003,1,11,30,0,0,45,0,75
2003,2,11,15000,13000,0,6180,17000,51180
2003,3,11,20000,106000,0,48000,77000,251000
2003,4,11,1720,148000,0,70000,350000,569720
2003,5,11,400,3700,0,100,184500,188700
2003,6,11,0,0,0,0,0,0
2003,5,11,0,0,0,0,0,0
2003,6,11,0,0,0,0,0,0
2003,7,11,0,0,0,0,0,0
2004,16,10,0,0,0,0,0,0
2004,17,10,2000,160,0,705,0,2865
2004,18,10,30800,11150,0,21308,9624,72882
2004,19,10,554,1200,0,1862,18204,21820
2004,20,10,205,1100,0,336,4600,6241
2004,21,10,37835,7839,0,18140,0,63814
2004,22,10,7839,32062,0,9050,176446,225397
2004,23,10,7189,21923,0,12767,102019,143898
2004,24,10,8785,17189,0,7434,31700,65108
2004,25,10,30697,17835,0,3708,1131,53371
2004,26,10,217,61,0,18,0,296
2004,27,10,0,0,0,0,0,0
2004,28,10,3096,8250,0,220,2254,13820
2004,29,10,605,250,0,120,25,1000
2004,30,10,37348,36180,0,26600,101318,201446
2004,31,10,4916,16856,0,223336,137517,382625
2004,1,11,80,150,0,84,0,314
2004,2,11,83500,407,0,2580,622,87109
2004,3,11,9305,18275,0,41389,61733,130702
2004,4,11,10000,3400,0,19911,3650,36961
2004,5,11,0,0,0,275,0,275
2004,6,11,11700,25087,0,56038,540,93365
2004,7,11,45380,7020,0,77416,5122,134938
2004,8,11,12171,46989,0,15100,6980,81240
2004,9,11,0,0,0,11,682,693
2004,10,11,0,0,0,0,0,0
2004,11,11,0,0,0,0,0,0
2005,15,10,112,824,0,300,2707,3943
2005,16,10,6500,13550,0,1600,16600,38250
2005,17,10,11700,17200,0,13000,72300,114200
2005,18,10,35,0,0,0,0,35
2005,19,10,300,1400,0,17,329,2046
2005,20,10,6550,21700,0,1920,32025,62195
2005,21,10,300,660,0,6,987,1953
2005,22,10,339,396,0,300,1992,3027
2005,23,10,27,437,0,0,66,530
2005,24,10,9470,9620,0,38700,109117,166907
2005,25,10,1040,11355,0,31140,150710,194245
2005,26,10,12500,42890,0,17475,182720,255585
2005,27,10,0,4200,0,4560,21300,30060
2005,28,10,0,40,0,88,191,319
2005,29,10,0,10,0,0,418,428
2005,30,10,150,1811,0,244,7119,9324
2005,31,10,45,372,0,48,0,465
2005,1,11,15560,2250,0,1600,1740,21150
2005,2,11,40380,7180,0,1425,94540,143525
2005,3,11,168760,30970,0,25700,343870,569300
2005,4,11,0,0,0,0,0,0
2005,5,11,220,100,0,0,35,355
2005,6,11,118000,53100,0,235425,178300,584825
2005,7,11,122000,38000,0,15000,14000,189000
2005,8,11,173,1438,0,2620,54430,58661
2005,9,11,0,0,0,0,0,0
2005,10,11,1600,3290,0,1960,2700,9550
2005,11,11,11240,220,0,2710,3420,17590
2006,16,10,433,7754,0,750,747,9684
2006,17,10,102,466,0,55,4400,5023
2006,18,10,101,230,0,6,880,1217
2006,19,10,12,30,0,3,428,473
2006,20,10,8,17,0,0,0,25
2006,21,10,103,850,0,27,1500,2480
2006,22,10,1141,1708,0,2648,5636,11133
2006,23,10,0,100,0,100,297,497
2006,24,10,9256,8000,0,1693,715,19664
2006,25,10,350,9048,0,259,45315,54972
2006,26,10,23457,52000,0,77172,37091,189720
2006,27,10,120000,89552,0,39903,18390,267845
2006,28,10,153480,27431,0,19389,1113,201413
2006,29,10,65412,8495,0,1604,1,75512
2006,30,10,86,1951,0,331,0,2368
2006,31,10,324,196,0,55,6,581
2006,1,11,0,0,0,0,0,0
2006,2,11,2115,99350,0,1929,76,103470
2006,3,11,138307,113152,0,147964,18000,417423
2006,4,11,21012,14995,0,1897,175,38079
2006,5,11,1596,4105,0,818,2074,8593
2006,6,11,4110,8025,0,3390,14341,29866
2006,7,11,228,1680,0,0,11605,13513
2006,8,11,491,777,0,1639,2797,5704
2006,9,11,8115,4887,0,4473,5560,23035
2006,10,11,736,8105,0,7394,21966,38201
2007,15,10,1315,2832,0,6550,0,10697
2007,16,10,13300,31000,0,610,940,45850
2007,17,10,603,60,0,465,62,1190
2007,18,10,17,3260,0,840,0,4117
2007,19,10,94210,14920,0,85100,0,194230
2007,20,10,139721,10021,0,5700,12,155454
2007,21,10,145500,35000,0,75000,4520,260020
2007,22,10,47270,6670,0,2180,200,56320
2007,23,10,115,845,0,190,0,1150
2007,24,10,552,8676,0,0,0,9228
2007,25,10,0,1430,0,0,0,1430
2007,26,10,510,1500,0,93,0,2103
2007,27,10,179590,37020,0,17340,2085,236035
2007,28,10,183010,86850,0,18600,30480,318940
2007,29,10,1030,2025,0,22,280,3357
2007,30,10,620,690,0,9,120,1439
2007,31,10,530,1965,0,5210,6990,14695
2007,1,11,21300,17890,0,15740,8810,63740
2007,2,11,180,1420,0,3140,1470,6210
2007,3,11,0,24,0,0,62,86
2007,4,11,0,0,0,0,0,0
2007,5,11,0,720,0,300,65,1085
2007,6,11,1070,25135,0,23540,22560,72305
2007,7,11,780,1677,0,25160,28190,55807
2007,8,11,1500,5000,0,69600,38500,114600
2007,9,11,3,0,0,0,0,3
2007,10,11,0,160,0,1700,11060,12920
2007,11,11,0,0,0,0,263,263
2008,15,10,11,0,0,42,0,53
2008,16,10,588,229,0,81,0,898
2008,17,10,10000,6000,0,45240,1978,63218
2008,18,10,77000,88690,0,279348,487514,932552
2008,19,10,14230,17950,0,181800,224760,438740
2008,20,10,18,614,0,26,355,1013
2008,21,10,92,28,0,0,0,120
2008,22,10,0,0,0,0,0,0
2008,23,10,9690,13390,0,25780,49100,97960
2008,24,10,14250,39060,0,36270,39185,128765
2008,25,10,44670,45270,0,75725,13700,179365
2008,26,10,34408,19982,0,47031,19900,121321
2008,27,10,0,77,0,15,0,92
2008,28,10,0,0,0,0,0,0
2008,29,10,0,0,0,0,0,0
2008,30,10,0,0,0,0,0,0
2008,31,10,826,906,0,87,400,2219
2008,1,11,10,7,0,0,0,17
2008,2,11,0,0,0,0,0,0
2008,3,11,0,0,0,0,0,0
2008,4,11,9735,65330,0,49520,80700,205285
2008,5,11,32,63,0,0,0,95
2008,6,11,0,3,0,0,0,3
2008,7,11,0,0,0,0,0,0
2008,8,11,316,607,0,110,2900,3933
2008,9,11,972,38,0,650,6440,8100
2008,10,11,526,2948,0,606,20540,24620
2008,11,11,0,0,0,0,0,0
2009,15,10,10000,300,0,4899,0,15199
2009,16,10,11000,4200,0,2200,70,17470
2009,17,10,2030,3600,0,3300,46,8976
2009,18,10,9800,10260,0,11600,2300,33960
2009,19,10,1700,6800,0,6400,38600,53500
2009,20,10,0,90,0,0,0,90
2009,21,10,150,60,0,0,0,210
2009,22,10,0,0,0,0,0,0
2009,23,10,120,130,0,0,0,250
2009,24,10,337,516,0,259,0,1112
2009,25,10,141,149,0,0,0,290
2009,26,10,188000,153000,0,84500,5800,431300
2009,27,10,7180,23600,0,9350,458000,498130
2009,28,10,3680,13830,0,6020,388,23918
2009,29,10,16490,48410,0,5400,990,71290
